scenario,worker_concurrency,repetition,contexte,id,statut,secondes,appels_llm,outils_executes,llm_ms_total,outil_ms_total,autre_ms
mixed,8,1,a_vide,q01,final,5.493,2,1,5319,128,46
mixed,8,1,a_vide,q02,final,1.653,2,1,1607,16,30
mixed,8,1,a_vide,q03,final,2.262,2,1,2236,9,17
mixed,8,1,a_vide,q04,final,1.805,2,1,1775,10,20
mixed,8,1,a_vide,q05,final,2.735,2,1,2697,17,21
mixed,8,1,a_vide,q06,final,2.613,2,1,2582,12,19
mixed,8,1,a_vide,q07,final,2.068,2,1,2042,6,20
mixed,8,1,a_vide,q08,final,2.071,2,1,2044,5,22
mixed,8,1,a_vide,q09,final,2.413,2,1,2370,13,30
mixed,8,1,a_vide,q10,final,1.601,2,1,1556,17,28
mixed,8,1,a_vide,q11,final,2.424,2,1,2388,5,31
mixed,8,1,a_vide,q12,final,1.841,2,1,1789,18,34
mixed,8,1,a_vide,q13,final,1.964,2,1,1930,5,29
mixed,8,1,a_vide,q14,final,1.865,2,1,1823,18,24
mixed,8,1,a_vide,q15,final,1.718,2,1,1668,18,32
mixed,8,1,a_vide,q16,final,2.453,2,1,2405,4,44
mixed,8,1,a_vide,q17,final,1.705,2,1,1647,24,34
mixed,8,1,a_vide,q18,final,1.599,2,1,1560,17,22
mixed,8,1,a_vide,q19,final,1.661,2,0,1637,0,24
mixed,8,1,a_vide,q20,final,3.841,2,1,3816,8,17
mixed,8,1,a_vide,q21,final,2.882,2,1,2847,5,30
mixed,8,1,a_vide,q22,final,2.1,2,1,2067,8,25
mixed,8,1,a_vide,q23,final,1.663,2,1,1615,19,29
mixed,8,1,a_vide,q24,final,2.892,2,1,2839,13,40
mixed,8,1,a_vide,q25,final,2.363,2,1,2326,3,34
mixed,8,1,a_vide,q26,final,1.888,2,1,1792,18,78
mixed,8,1,a_vide,q27,final,1.707,2,1,1664,17,26
mixed,8,1,a_vide,q28,final,1.875,2,1,1838,17,20
mixed,8,1,a_vide,q29,final,2.12,2,1,2085,4,31
mixed,8,1,a_vide,q30,final,3.437,2,2,3370,34,33
mixed,8,1,sous_charge,q01,final,3.148,2,1,3046,7,95
mixed,8,1,sous_charge,q02,final,2.377,2,1,2347,4,26
mixed,8,1,sous_charge,q03,final,2.033,2,1,1988,15,30
mixed,8,1,sous_charge,q04,final,2.052,2,1,2005,17,30
mixed,8,1,sous_charge,q05,final,2.002,2,1,1964,11,26
mixed,8,1,sous_charge,q06,final,2.406,2,1,2355,20,31
mixed,8,1,sous_charge,q07,final,2.175,2,1,2137,9,29
mixed,8,1,sous_charge,q08,final,2.506,2,1,2443,5,58
mixed,8,1,sous_charge,q09,final,2.114,2,1,2077,11,26
mixed,8,1,sous_charge,q10,final,2.795,3,2,2726,34,35
mixed,8,1,sous_charge,q11,final,2.586,2,1,2550,2,34
mixed,8,1,sous_charge,q12,final,1.903,2,1,1858,14,31
mixed,8,1,sous_charge,q13,final,1.65,2,1,1616,4,30
mixed,8,1,sous_charge,q14,final,2.083,2,1,2022,23,38
mixed,8,1,sous_charge,q15,final,2.263,2,1,2230,8,25
mixed,8,1,sous_charge,q16,final,2.282,2,1,2249,2,31
mixed,8,1,sous_charge,q17,final,1.902,2,1,1850,27,25
mixed,8,1,sous_charge,q18,final,1.938,2,1,1910,9,19
mixed,8,1,sous_charge,q19,final,2.739,2,0,2719,0,20
mixed,8,1,sous_charge,q20,final,3.368,2,1,3337,7,24
mixed,8,1,sous_charge,q21,final,3.368,2,1,3343,4,21
mixed,8,1,sous_charge,q22,final,2.924,2,1,2873,21,30
mixed,8,1,sous_charge,q23,final,3.083,2,1,3035,16,32
mixed,8,1,sous_charge,q24,final,3.644,2,1,3606,3,35
mixed,8,1,sous_charge,q25,final,4.258,2,1,4218,5,35
mixed,8,1,sous_charge,q26,final,3.82,2,1,3768,16,36
mixed,8,1,sous_charge,q27,final,2.07,2,1,2028,16,26
mixed,8,1,sous_charge,q28,final,2.602,2,1,2570,12,20
mixed,8,1,sous_charge,q29,final,5.723,3,2,5602,12,109
mixed,8,1,sous_charge,q30,final,9.13,2,2,9065,33,32
